,song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
count,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,20,,,,,,,,
top,001,,,,,,,,
freq,1,,,,,,,,
mean,,127.55,63.0,0.5668907597487813,60.0,72.0,12.0,8.0,4.0
std,,0.7591546545162482,0.0,0.024189708259031745,0.0,0.0,0.0,0.0,0.0
min,,126.0,63.0,0.515625,60.0,72.0,12.0,8.0,4.0
25%,,127.0,63.0,0.552734375,60.0,72.0,12.0,8.0,4.0
50%,,128.0,63.0,0.5629960317460317,60.0,72.0,12.0,8.0,4.0
75%,,128.0,63.0,0.5905511811023623,60.0,72.0,12.0,8.0,4.0
max,,128.0,63.0,0.6031746031746033,60.0,72.0,12.0,8.0,4.0
