song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
001,128,63,0.5546875,60,72,12,8,4
002,128,63,0.5625,60,72,12,8,4
003,126,63,0.5952380952380952,60,72,12,8,4
004,127,63,0.5905511811023623,60,72,12,8,4
005,127,63,0.5354330708661417,60,72,12,8,4
006,126,63,0.5634920634920635,60,72,12,8,4
007,128,63,0.5703125,60,72,12,8,4
008,128,63,0.515625,60,72,12,8,4
009,128,63,0.5625,60,72,12,8,4
010,128,63,0.578125,60,72,12,8,4
011,127,63,0.5905511811023623,60,72,12,8,4
012,128,63,0.546875,60,72,12,8,4
013,128,63,0.5390625,60,72,12,8,4
014,128,63,0.6015625,60,72,12,8,4
015,128,63,0.5625,60,72,12,8,4
016,128,63,0.59375,60,72,12,8,4
017,128,63,0.5625,60,72,12,8,4
018,128,63,0.5390625,60,72,12,8,4
019,126,63,0.6031746031746033,60,72,12,8,4
020,128,63,0.5703125,60,72,12,8,4
