song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
001,547,291,0.6160877513711152,67,76,9,6,10
002,461,241,0.49891540130151846,71,86,15,10,12
003,578,312,0.5674740484429066,72,86,14,9,9
004,412,237,0.15533980582524276,74,89,15,10,17
005,588,303,0.059523809523809534,67,84,17,14,21
006,868,434,0.1820276497695853,55,67,12,8,13
007,955,481,0.6565445026178011,62,76,14,9,10
008,547,280,0.6928702010968921,57,79,22,10,12
009,936,473,0.32158119658119655,62,79,17,11,13
010,654,343,0.6192660550458715,62,77,15,13,29
011,670,358,0.35522388059701493,55,74,19,12,12
012,587,268,0.3458262350936968,55,77,22,17,22
013,417,223,0.7553956834532374,60,76,16,8,13
014,717,393,0.5383542538354253,64,77,13,8,11
015,526,253,0.6045627376425855,65,79,14,9,11
016,607,305,0.342668863261944,60,76,16,9,8
017,485,259,0.4226804123711341,56,73,17,10,8
018,485,244,0.4226804123711341,56,73,17,10,8
019,451,229,0.3192904656319291,60,81,21,16,19
020,760,409,0.6947368421052631,64,76,12,8,16
021,473,224,0.5856236786469344,60,72,12,8,16
022,546,290,0.2509157509157509,67,83,16,8,10
023,520,259,0.49230769230769234,69,88,19,11,10
024,427,234,0.6697892271662764,67,83,16,8,18
025,714,366,0.469187675070028,69,101,32,18,14
026,488,260,0.39754098360655743,72,88,16,9,9
027,558,286,0.38351254480286734,67,88,21,11,11
028,485,250,0.3855670103092783,64,81,17,10,13
029,790,454,0.5759493670886076,57,88,31,19,30
030,523,261,0.502868068833652,64,80,16,10,25
031,616,376,0.45292207792207795,64,76,12,7,7
032,493,242,0.30831643002028397,64,81,17,9,22
033,543,276,0.33333333333333337,67,86,19,10,9
034,826,441,0.5786924939467313,76,95,19,9,10
035,606,327,0.24257425742574257,72,89,17,11,28
036,750,410,0.7493333333333334,76,93,17,8,7
037,649,350,0.3882896764252697,67,85,18,16,28
038,694,366,0.46541786743515845,67,84,17,10,23
039,678,357,0.3864306784660767,75,89,14,13,40
040,600,304,0.3583333333333333,67,84,17,11,19
041,761,382,0.23258869908015767,60,81,21,10,23
042,493,257,0.281947261663286,60,79,19,10,25
043,1191,606,0.2225020990764064,62,84,22,13,35
044,546,263,0.3864468864468864,67,84,17,8,13
045,448,223,0.3816964285714286,67,81,14,8,15
046,879,453,0.16268486916951086,64,81,17,11,16
047,494,263,0.5506072874493927,64,81,17,13,14
048,722,370,0.5373961218836565,69,86,17,10,12
049,773,417,0.369987063389392,52,81,29,17,15
050,413,217,0.5108958837772397,67,84,17,10,11
051,494,262,0.2510121457489879,55,79,24,17,20
052,534,288,0.33895131086142327,60,79,19,11,17
053,558,297,0.4605734767025089,76,96,20,10,12
054,600,319,0.43999999999999995,64,81,17,10,11
055,716,369,0.2793296089385475,55,84,29,18,21
056,745,412,0.3194630872483222,67,84,17,9,13
057,589,313,0.3123938879456706,57,80,23,18,21
058,549,288,0.24225865209471764,64,81,17,7,11
059,499,260,0.4348697394789579,67,84,17,10,16
060,385,193,0.3090909090909091,69,86,17,8,14
061,723,373,0.7883817427385892,72,88,16,9,16
062,1158,628,0.2538860103626943,67,84,17,10,23
063,672,382,0.8020833333333334,67,89,22,13,9
064,406,204,0.6157635467980296,62,77,15,8,17
065,966,485,0.29917184265010355,64,79,15,8,13
066,794,433,0.6410579345088161,57,79,22,10,16
067,570,310,0.23859649122807014,60,79,19,12,21
068,526,257,0.2395437262357415,64,81,17,9,17
069,840,472,0.20119047619047614,69,86,17,10,16
070,484,249,0.31611570247933884,60,79,19,11,16
071,548,288,0.5875912408759124,69,89,20,13,21
072,621,319,0.26409017713365535,55,72,17,11,13
073,687,345,0.2852983988355168,50,69,19,10,13
074,699,375,0.5221745350500715,67,84,17,16,38
075,535,258,0.49719626168224296,57,84,27,12,11
076,807,428,0.5328376703841388,67,84,17,9,16
077,862,438,0.2331786542923434,67,86,19,9,12
078,762,385,0.33464566929133854,76,96,20,10,12
079,533,257,0.2682926829268293,69,93,24,12,12
080,625,336,0.6864,67,84,17,13,27
081,506,248,0.26086956521739135,69,93,24,12,20
082,522,256,0.48275862068965514,57,76,19,10,11
083,524,261,0.40839694656488545,72,88,16,9,11
