,song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
count,909,909.0,909.0,909.0,909.0,909.0,909.0,909.0,909.0
unique,909,,,,,,,,
top,909,,,,,,,,
freq,1,,,,,,,,
mean,,639.2387238723873,333.3168316831683,0.40114052150722895,62.23872387238724,80.3069306930693,18.068206820682068,11.041804180418042,16.866886688668867
std,,174.90827425223182,93.87444018659812,0.1662512992918589,6.376512252153477,6.535683679898642,3.5975657422698237,2.9675950751230196,7.439394876844633
min,,108.0,54.0,0.010948905109489093,40.0,64.0,9.0,5.0,4.0
25%,,524.0,268.0,0.2689243027888446,57.0,76.0,16.0,9.0,12.0
50%,,601.0,314.0,0.3759071117561683,64.0,81.0,17.0,10.0,15.0
75%,,734.0,385.0,0.5167910447761195,67.0,84.0,20.0,12.0,21.0
max,,1564.0,785.0,0.8844984802431611,79.0,101.0,36.0,23.0,56.0
