,song_id,n_melody_frames,n_beats,rest_ratio,lowest_pitch,highest_pitch,pitch_range,unique_pitches,unique_chords
count,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
unique,60,,,,,,,,
top,001,,,,,,,,
freq,1,,,,,,,,
mean,,610.3166666666667,318.68333333333334,0.4195441851157616,64.35,82.18333333333334,17.833333333333332,10.85,15.966666666666667
std,,156.03905331099676,82.678772236476,0.1565264434755718,5.917010811985436,6.074374255746023,4.4193974076029505,3.1827128392220922,7.149651328861694
min,,385.0,193.0,0.059523809523809534,52.0,67.0,9.0,6.0,7.0
25%,,493.75,259.0,0.31756632121036443,60.0,79.0,16.0,9.0,11.0
50%,,568.0,294.0,0.38736828143607804,64.0,81.0,17.0,10.0,13.5
75%,,714.5,369.25,0.5376356548715987,67.0,86.0,19.0,11.25,20.25
max,,1191.0,606.0,0.7553956834532374,76.0,101.0,32.0,19.0,40.0
